id,Question,Marks,GS - Paper,Subject,Year,Model Answer
18,How do you account for the growing fast food industries given that there are increased health concerns in modern society? Illustrate your answer with the Indian experience.,15,GS 1,Indian Society,2025,"With India's fast-food market projected to reach **$27.39 billion by 2020**, this growth paradoxically coincides with rising obesity rates affecting **135 million Indians**.

## Factors Driving Fast Food Industry Growth

### Economic and Lifestyle Drivers
- **Rising disposable income** in urban areas increasing spending on convenience foods
- **Time-poor lifestyles** of working professionals creating demand for quick meals
- **Nuclear family structure** reducing home cooking frequency
- **Youth demographic dividend** with 65% population under 35 preferring western cuisine
- **Urbanization rate of 35%** creating dense consumer markets for quick service

### Industry Adaptations and Innovations
- **Digital penetration** through Zomato, Swiggy achieving 70% market share in food delivery
- **Localization strategies** like McDonald's **Maharaja Mac** and KFC's **Krushers** targeting Indian palates
- **Affordable pricing models** with value meals starting at ₹99
- **Expansion into Tier-2/3 cities** like Domino's presence in 300+ cities
- **Cloud kitchens** reducing operational costs by 40-50%

## Health Concerns and Regulatory Response

### Rising Health Issues
- **Childhood obesity** increased by 30% during 2019-2023 period
- **Type 2 diabetes** affecting 77 million Indians, linked to processed food consumption
- **Cardiovascular diseases** causing 28% of total deaths in India
- **Micronutrient deficiencies** despite caloric surplus from fast foods
- **Rise of NCDs** – WHO: 61% of deaths in India from NCDs; fast food rich in trans-fats, sodium, and sugars.
- **Changing Food Habits** – Traditional grains (millets, pulses) replaced by burgers, pizzas, aerated drinks.
- **Addictive Nature** – High sugar, salt, fat combinations create addictive food habits, especially among teens.
- **Healthcare Burden** – India projected to have 80 million diabetics by 2030 (IDF), linked to diet changes.


## Indian Experiences

- **Rapid Expansion** – Domino’s has 1,800+ outlets, India is McDonald’s 2nd largest market in Asia.
- **Local Brands Competing** – Haldiram’s, Bikanervala, Wow! Momo adapt traditional snacks into fast-food formats.
- **Digital Ordering** – Zomato/Swiggy deliver 3+ million orders daily (2023), even in small towns.
- **Policy Measures** – FSSAI mandated calorie labelling and banned sale of HFSS (high fat, salt, sugar) foods near schools.
- **Health Campaigns** – “Eat Right India” promotes low-salt, low-sugar diets; Delhi HC upheld junk food ban near schools.
- **Consumer Trends** – Growing demand for “healthier fast foods” (Subway, millet-based pizzas, protein bowls).


## Government and Industry Initiatives
- **FSSAI regulations** mandating calorie display since 2022
- **High Fat, Sugar, Salt (HFSS) labeling** implemented in 2023
- **Corporate wellness programs** by major chains promoting healthier options
- **Fortification mandates** for wheat flour and cooking oil

The fast-food industry's resilience stems from successfully balancing convenience with evolving health consciousness through **menu diversification** and **nutritional transparency**, supported by India's **Digital India** initiative facilitating seamless food delivery ecosystems."
19,Achieving sustainable growth with emphasis on environmental protection could come into conflict with poor people’s needs in a country like India – Comment.,15,GS 1,Indian Society,2025,"India’s developmental challenge lies in balancing **environmental protection** with **the immediate survival** needs of the poor. While sustainability is essential for long-term prosperity, policies may sometimes appear to restrict the poor’s access to resources, creating a conflict between **ecology and livelihood security**.


## **Conflicts Between Environmental Protection and Poor People's Needs**

### **Resource Access Restrictions**
- **Forest-dependent communities** lose access to traditional resources affecting 275 million people
- **Fishing restrictions** in marine protected areas impact coastal communities' livelihoods
- **Mining bans** in ecologically sensitive areas affect tribal employment in states like **Odisha and Jharkhand**
- **Water usage regulations** limiting agricultural practices of small farmers

### **Employment and Economic Impacts**
- **Textile industry** closures due to pollution norms affecting 12 million workers
- **Brick kilns** shutdown impacting migrant laborers in **Delhi-NCR**
- **Small-scale industries** unable to afford pollution control equipment
- **Construction sector** restrictions affecting daily wage earners

## **Environmental Protection Supporting Poverty Alleviation**

### **Green Employment Generation**
- **MGNREGA 2.0** creating 2.7 crore person-days through water conservation and afforestation
- **National Clean Air Programme** generating 15 lakh jobs in clean technology sector
- **Swachh Bharat Mission** employing 50 lakh sanitation workers
- **Solar sector** creating 1 million jobs under **National Solar Mission**

### **Sustainable Livelihood Models**
- **PM-KUSUM scheme** benefiting 17.5 lakh farmers with solar irrigation
- **Joint Forest Management** covering 1.18 lakh committees nationwide
- **Organic farming initiatives** increasing farmer incomes by 20-30%
- **Eco-tourism projects** in **Kerala backwaters** and **Rajasthan** creating rural employment

## **Way Forward: Integrated Solutions**

- **Inclusive Green Policies** – Subsidised solar pumps, clean cooking fuels, and low-cost housing.
- **Participatory Conservation** – Empowering local communities in decision-making on forests, water, and commons.
- **Technology & Innovation** – Affordable EVs, decentralized renewable energy for villages.
- **Targeted Compensation** – Social security nets for displaced communities due to environmental restrictions.
- **Best Practices** –
    * **Costa Rica’s PES (Payment for Ecosystem Services) model** compensates locals for conservation.
    * **China’s Green Poverty Alleviation Program** links eco-restoration with jobs.
    * India’s **MGNREGS** used for water conservation and afforestation.


India's success in balancing this trilemma requires **inclusive green growth** strategies, exemplified by **Kudumbashree Kerala's** integration of environmental conservation with women's livelihood programs."
20,"Does tribal development in India centre around two axes, those of displacement and of rehabilitation? Give your opinion.",15,GS 1,Indian Society,2025,"Recent data shows **60 million people** displaced since independence, with **40% being tribals**, highlighting how displacement-rehabilitation axis dominates India's tribal development discourse.

## Displacement as a Central Axis

**Development-Induced Displacement:**
- **Mining Projects**: Odisha's **Niyamgiri Hills** (Vedanta), Jharkhand's **coal mining** displacing over **2.55 lakh tribals** annually
- **Dam Construction**: **Sardar Sarovar Project** displaced **40,000 tribal families**; **Polavaram Project** affecting **2.75 lakh** people
- **Industrial Corridors**: **Delhi-Mumbai Industrial Corridor** impacting tribal lands across **6 states**
- **Forest Conservation**: **Project Tiger** and **Protected Areas** leading to eviction of forest-dwelling tribes
- **Infrastructure Projects**: **Dedicated Freight Corridors** and **highway expansion** through tribal heartlands

## Rehabilitation as Corrective Response

**Policy Framework & Implementation:**
- **Forest Rights Act 2006**: **1.8 crore claims** filed, only **54% approved** indicating gaps in rehabilitation
- **PESA Act 1996**: Gram Sabha powers for natural resource management in **Fifth Schedule areas**
- **PM-JANMAN Scheme 2023**: ₹**15,000 crore** for **75 PVTG groups** across **18 states**
- **Land Acquisition Act 2013**: Mandatory **80% consent** and **R&R package** for affected families
- **Tribal Sub-Plan**: **8.6%** of total budget allocation for tribal development

## Beyond the Displacement-Rehabilitation Framework

| **Development Dimension** | **Key Initiatives** | **Impact/Coverage** |
|---------------------------|-------------------|-------------------|
| **Education** | Eklavya Model Schools | **740 schools** sanctioned |
| **Health** | Tribal Health Mission | **18,000 health facilities** |
| **Livelihood** | Van Dhan Vikas Yojana | **3,000 SHGs** formed |
| **Digital Inclusion** | PM-WANI in tribal areas | **5,000 hotspots** planned |

**Emerging Paradigms:**
- **Community-Led Development**: **Nagaland's** village councils managing development funds autonomously
- **Eco-Tourism Models**: **Kerala's** Wayanad tribes benefiting from sustainable tourism
- **Traditional Knowledge Systems**: **CSIR's** collaboration with tribes for **medicinal plant conservation**
- **Skill Development**: **National Skill Development Mission** covering **50 tribal districts**
- **Financial Inclusion**: **Jan Dhan accounts** reaching **85%** tribal households

While displacement-rehabilitation remains significant, modern tribal development transcends this binary through **community participation**, **cultural preservation**, and **sustainable livelihoods**. The **Scheduled Tribes and Other Traditional Forest Dwellers Act** exemplifies this evolved approach toward inclusive development."
21,"Discuss the 'corrupt practices' for the purpose of the Representation of the People Act, 1951. Analyze whether the increase in the assets of the legislators and/or their associates, disproportionate to their known sources of income, would constitute 'undue influence' and consequently a corrupt practice.",10,GS 2,Indian Polity,2025,"The Representation of the People Act (RPA), 1951 lays down provisions to ensure free and fair elections in India. **Section 123** of the Act explicitly defines “corrupt practices” by candidates and their agents, which, if proved, can result in disqualification and even annulment of election results.

## Corrupt Practices under RPA, 1951

**Bribery (Section 123(1)):**
- Promotion of Enmity or Hatred among communities.
- Use of Government Machinery/Official Position for electoral gains.
- Includes indirect benefits like loan waivers targeting specific voter groups
- Publication of False Statements regarding candidates.
- Exceeding Prescribed Expenditure Limits.

**Undue Influence (Section 123(2)):**
- **Threats and intimidation** against voters or candidates
- Abuse of official position to influence electoral outcomes
- **West Bengal 2021**: Allegations of using police machinery to intimidate opposition voters

**Appeal to Religion/Caste (Section 123(3)):**
- Seeking votes based on religious or communal grounds
- **Uttar Pradesh 2022**: Multiple cases filed for divisive campaign speeches
- Includes hate speech targeting specific communities

**Publication of False Statements (Section 123(4)):**
- Spreading **fabricated information** about candidates' character or conduct
- Social media disinformation campaigns fall under this category
- **Tamil Nadu 2021**: Cases filed for morphed videos of candidates

**Booth Capturing (Section 123(8)):**
- Forcible occupation of polling stations
- Preventing legitimate voters from casting ballots

## Disproportionate Assets and Undue Influence Analysis

| Aspect | Current Legal Position | Challenges |
|--------|----------------------|------------|
| **Asset Declaration** | Mandatory affidavit filing | Limited verification mechanisms |
| **Disproportionate Assets** | Not explicitly covered under RPA | Falls under Prevention of Corruption Act |
| **Judicial Scrutiny** | Case-by-case evaluation | Lengthy legal processes |

**Legal Framework Gaps:**
- **Asset increase alone** doesn't constitute corrupt practice under RPA, 1951
- Requires proof of **direct electoral influence** through accumulated wealth
- **Prevention of Corruption Act, 1988** addresses disproportionate assets separately

**Judicial Precedents:**
- **Lily Thomas case (2013)**: Pertains to the Supreme Court of India’s judgment that invalidated Section 8(4) of the Representation of People Act. This provision allowed a three-month period for convicted legislators to appeal before disqualification.
- **Association for Democratic Reforms (2020)**: Emphasized transparency in asset declarations
- **Krishnamoorthy case (2015)**: Clarified that substantial asset increase needs direct electoral connection

**Emerging Challenges:**
- **Benami properties** and shell companies obscuring actual ownership
- **Cryptocurrency holdings** creating new disclosure complexities
- Cross-border investments complicating asset verification

Strengthening electoral integrity requires amendments linking disproportionate assets to undue influence. The **Election Commission's 2024 guidelines** on enhanced scrutiny represent progress toward comprehensive electoral reforms."
22,Comment on the need of administrative tribunals as compared to the court system. Assess the impact of the recent tribunal reforms through rationalization of tribunals made in 2021.,10,GS 2,Indian Polity,2025,"Administrative tribunals are specialized **quasi-judicial bodies** established under **Article 323-A and 323-B** of the Constitution to handle disputes relating to service, taxation, company law, environment, etc. They aim to reduce the burden on regular courts and provide speedy, expert, and cost-effective justice.

## Need for Administrative Tribunals vs Court System

**Specialized Expertise and Technical Knowledge**
- Tribunals possess domain-specific expertise for complex administrative matters
- **Central Administrative Tribunal** handles service disputes with specialized knowledge
- **National Company Law Tribunal** deals with corporate law complexities beyond general court competence
- **Armed Forces Tribunal** addresses unique military service conditions
- **Debt Recovery Tribunal** specializes in banking and financial recovery matters

**Speed and Efficiency in Justice Delivery**
- Simplified procedures ensure faster case disposal compared to regular courts
- **National Consumer Disputes Redressal Commission** achieved over 100% disposal rate in 10 states (2023)
- Average disposal time reduced from 3-5 years in courts to 6-12 months in tribunals
- **Income Tax Appellate Tribunal** disposes cases within 4 years on average
- Informal proceedings reduce procedural delays

**Cost-Effectiveness and Accessibility**
- Lower litigation costs make justice accessible to common citizens
- Reduced court fees and simplified documentation requirements
- **Article 39A** mandates equal justice and free legal aid implementation
- **Electricity Regulatory Commissions** provide affordable dispute resolution for consumers
- No mandatory legal representation reduces expenses

**Decongestion of Regular Courts**
- Top 5 central tribunals handled over **3.5 lakh cases** in 2022-23
- Reduced burden on High Courts and Supreme Court
- **National Green Tribunal** handled 20,000+ environmental cases since inception
- Specialized forums prevent regular court clogging
- **Railway Claims Tribunal** processes compensation claims efficiently

## Impact of Tribunal Reforms 2021

### Positive Impacts of Rationalization

**Structural Consolidation and Efficiency**
- Abolished 9 tribunals including **Film Certification Appellate Tribunal**
- Merged functions into existing bodies reducing administrative overlap
- **Customs, Excise and Service Tax Appellate Tribunal** integrated multiple tax disputes
- Streamlined reporting structure under respective ministries
- Reduced operational costs by ₹50 crores annually

**Enhanced Administrative Control**
- Uniform service conditions for tribunal members established
- Standardized qualification requirements across all tribunals
- Direct ministerial oversight ensuring policy alignment
- **Central Administrative Tribunal** reforms improved member selection process
- Better coordination between tribunals and parent ministries

### Challenges and Concerns

**Independence and Autonomy Issues**
- Executive control over appointments raises separation of powers concerns
- **Supreme Court** criticism in Madras Bar Association case (2021)
- Financial dependence on government affects functional autonomy
- Administrative control may compromise judicial independence
- Search-cum-selection committee effectiveness questioned

**Operational Difficulties**
- Massive vacancy rates in key tribunals (40% in **CAT** as of 2023)
- Jurisdictional confusion following tribunal abolitions
- **Intellectual Property Appellate Board** merger created case backlogs
- Infrastructure deficits in tier-2 and tier-3 cities
- Digital integration challenges in remote locations

Tribunals remain necessary for handling specialized disputes, but the 2021 reforms, while rationalizing structures, have raised issues of judicial independence and effective functioning. Strengthening autonomy and ensuring balance between expertise and accountability are key to making tribunals effective instruments of justice."
23,Compare and contrast the President's power to pardon in India and in the USA. Are there any limits to it in both the countries? What are preemptive pardons?,10,GS 2,Indian Polity,2025,"**In the recent past President Biden granted clemency to almost 1,500 people in 2024-25, highlighting the active use of pardoning powers globally.** The power to pardon is an essential facet of executive clemency, serving as a humanitarian check on the judiciary. In India, this power is vested in the President under **Article 72** of the Constitution, while in the USA, it is granted by Article II, Section 2 of the U.S. Constitution.

## President's Power to Pardon: India vs USA

| **Aspect** | **India** | **USA** |
|------------|-----------|---------|
| **Constitutional Basis** | Article 72 | Article II, Section 2 |
| **Scope** | Union laws, court-martial, death sentences | All federal offenses except impeachment |
| **Decision Process** | Acts on Council of Ministers' advice (Article 74) | Independent presidential discretion |
| **Judicial Review** | Extensive (mala fide, arbitrary decisions) | Limited (Ex Parte Garland case) |

## Constitutional Framework and Scope

**Indian Context**:
- **Article 72** empowers President for Union law offenses and death sentences
- Federal structure limits scope - state offenses under Governor's jurisdiction
- **Binding ministerial advice** ensures collective responsibility
- Cannot pardon impeachment cases or state-level crimes
- Recent example: **Perarivalan's release** in Rajiv Gandhi assassination case (2022)

**US Context**:
- Broad federal jurisdiction covering all federal crimes
- **Unilateral presidential authority** without cabinet consultation
- Historical precedent since **George Washington's Whiskey Rebellion pardons**
- Cannot override state convictions or congressional impeachment
- **Trump's 237 pardons** during final days demonstrated extensive use

## Limits to Pardoning Power

**Indian Limitations**:
- **Judicial review** for arbitrary or discriminatory decisions
- **Maru Ram v. Union of India** established review parameters
- Cannot violate **fundamental rights** or constitutional principles
- Subject to **Article 14** equality provisions
- **Kehar Singh v. Union of India** upheld death sentence despite mercy petition

**US Limitations**:
- **State-federal divide** prevents interference in state crimes
- Cannot pardon **impeachment proceedings**
- **Ex Parte Garland** limited judicial interference
- Political accountability through congressional oversight
- **Ford-Nixon precedent** established constitutional boundaries

## Preemptive Pardons

A preemptive pardon is the issuance of a pardon to someone who has not yet been charged with or convicted of a crime, but who is seen as a potential target of legal or political retribution. It serves as a protective measure to prevent future prosecution or punishment for actions that could be the subject of future investigations, typically from an incoming political administration or other adversaries. There is no such concept as a preemptive pardon under the Indian Constitution or laws. 

**Application:**
- **Ford's Nixon pardon (1974)** prevented prosecution entirely
- **Carter's Vietnam draft dodgers amnesty** covered thousands preemptively
- **Biden's recent considerations** for potential Trump prosecutions

**Indian Position**:
- **No explicit constitutional provision** for preemptive pardons
- Traditional **post-conviction clemency model**
- **Supreme Court precedents** focus on completed judicial processes
- **Pending cases** typically await trial completion

While both systems recognize clemency as a constitutional necessity, India’s model is guided and limited by ministerial advice and judicial review, ensuring accountability, whereas the U.S. President enjoys a wider, discretionary, and politically significant pardon power, including preemptive pardons."
24,"Discuss the nature of Jammu and Kashmir Legislative Assembly after the Jammu and Kashmir Reorganization Act, 2019. Briefly describe the powers and functions of the Assembly of the Union Territory of Jammu and Kashmir.",10,GS 2,Indian Polity,2025,"The **Jammu and Kashmir Reorganization Act, 2019** transformed the state into a Union Territory with legislature, creating a unique constitutional entity following Article 370's abrogation.This marked a fundamental change in the political and constitutional status of the region.

## **Nature of Jammu and Kashmir Legislative Assembly**

**Constitutional Status:**
- Like Puducherry, J&K’s Assembly is governed by Article 239A, while Delhi operates under a distinct Article 239AA with a more complex power-sharing framework between the LG and the government.
- Operates under the direct supervision of the **Lieutenant Governor** appointed by the President
- Follows **unicameral structure**, unlike the earlier bicameral system of the erstwhile state
- Subject to **Parliamentary oversight** through Union Home Ministry
- Governed by specific provisions of the **Jammu and Kashmir Reorganization Act, 2019**


## **Powers and Functions of the Assembly**

**Legislative Powers:**
- Authority to make laws on **State List subjects** except public order, police, and land revenue
- Can legislate on **Concurrent List matters** subject to Parliamentary supremacy
- **Limited jurisdiction** over All India Services and anti-terrorism operations
- Power to amend existing J&K laws in conformity with Union legislation
- Cannot override **central laws** on reserved subjects

| **Subject Matter** | **Assembly Powers** | **Central Control** |
|-------------------|-------------------|-------------------|
| Education, Health | Full legislative power | Policy guidelines |
| Police, Public Order | No legislative power | Complete central control |
| Land Revenue | Limited power | Lieutenant Governor approval |
| Local Government | Full power | Constitutional framework |

**Financial Powers:**
- Discusses and approves **annual budget** with Lieutenant Governor's concurrence
- Requires **prior recommendation** of Lieutenant Governor for money bills
- Establishes **Consolidated Fund** for the Union Territory
- **No borrowing powers** without central government approval
- Controls expenditure through budgetary allocations (₹1.08 lakh crore in 2024-25)

**Executive Functions:**
- **Question Hour** and discussions to ensure government accountability
- Formation of **Parliamentary committees** for administrative oversight
- Power to pass **resolutions** on matters of public importance
- **No confidence motions** against the Council of Ministers
- Approval of **Lieutenant Governor's reports** to the President

The transformed Assembly represents a **hybrid federal structure**, balancing regional democratic participation with enhanced central oversight, ensuring integration while maintaining local representation through institutions like **District Development Councils** and **Panchayati Raj**"
25,"""The Attorney General of India plays a crucial role in guiding the legal framework of the Union Government and ensuring sound governance through legal counsel."" Discuss his responsibilities, rights and limitations in this regard.",10,GS 2,Indian Polity,2025,"The Attorney General of India (AGI), established under **Article 76** of the Constitution, is the highest law officer of the country. As the chief legal advisor to the Union Government, the AGI ensures that governance is conducted within the framework of the Constitution and the law.

## Responsibilities of Attorney General

**Advisory Functions:**
- Provides **legal advice** to the Government of India on constitutional and legal matters
- Assists in **drafting legislation** and reviewing policy frameworks for legal compliance
- Offers opinions on **international treaties** and bilateral agreements
- Guides government on **constitutional interpretation** in complex governance issues
- Reviews **ordinances** and executive decisions for constitutional validity

**Representation Duties:**
- Appears for the **Government of India** in all Supreme Court cases where the Union is a party
- Represents the government in **constitutional matters** and important legal proceedings
- Handles cases involving **public interest** and national security concerns
- Defends government policies in **judicial review** proceedings

## Rights of Attorney General

**Parliamentary Privileges:**
- **Right to speak** in both Houses of Parliament without voting rights
- Can participate in **joint sessions** and committee proceedings when invited
- Access to **parliamentary debates** and legislative discussions
- Right to **audience in all courts** throughout India

**Professional Rights:**
- Enjoys **precedence** and special status in court proceedings
- Can engage in **private practice** with government permission (though restricted against government interests)
- Entitled to **official residence** and security arrangements

## Limitations of Attorney General

**Professional Restrictions:**
- Cannot **advise against** the Government of India or hold brief against it
- Prohibited from taking cases that **conflict with government interests**
- Cannot practice in **subordinate courts** without special permission
- Restricted from **political activities** during tenure

**Tenure Limitations:**
- Holds office at the **pleasure of President**, lacking fixed tenure
- **Not a full-time** government counsel, unlike Solicitor General
- Cannot initiate **suo moto** legal proceedings independently

The Attorney General of India serves as a vital link between law and governance, ensuring that executive actions remain constitutionally valid. However, his effectiveness depends on balancing his role as a government advisor with the need for independence and integrity in upholding the rule of law."
26,Women's social capital complements in advancing empowerment and gender equity. Explain.,10,GS 2,Social Justice,2025,"Social capital refers to the networks, relationships, and norms of trust and cooperation that enable collective action. In the case of women, social capital built through community groups, SHGs, informal networks, and digital platforms, plays a vital complementary role in advancing their empowerment and promoting gender equity.

## How Women’s Social Capital Aids Empowerment

- **Access to Information and Awareness**
  - Women’s groups help disseminate knowledge about rights, schemes, health, education, and legal safeguards.
  - Peer learning encourages informed decision-making.
  - Example: **SHGs under DAY-NRLM** have improved women’s financial literacy in rural India.

- **Economic Empowerment**
  - Collective bargaining power in microfinance, entrepreneurship, and market linkages.
  - Pooling resources enables risk-sharing and access to credit.
  - Example: **Kudumbashree in Kerala** empowers women through micro-enterprise clusters.

- **Political and Civic Participation**
  - Women in collectives often step up to contest panchayat elections or lead local campaigns. Global Gender Gap Report noted **44.4% women's representation in local bodies** in India.
  - Builds confidence and visibility in public spaces.
  - Example: **Mahila Sabhas in Gram Panchayats** enable gender-sensitive governance.

- **Emotional and Social Support**
  - Peer networks help women navigate domestic challenges, violence, and mental stress.
  - Reduces isolation, especially in patriarchal setups.


## Promoting Gender Equity through Social Capital

- **Collective Voice Against Social Injustice**
  - Women’s collectives help challenge patriarchal norms, caste discrimination, and gender-based violence.
  - Example: **Mahila Samakhya Programme** enabled rural women’s sanghas to fight child marriage, dowry, and domestic violence across states like Bihar and Uttar Pradesh.

- **Fostering Gender-Equal Norms in Families**
  - Through collective learning and reflection, women influence family-level decisions—education for daughters, delayed marriage, health awareness.
  - Example: SHG-led discussions in **Tamil Nadu and Andhra Pradesh** have led to increased school enrollment of girls and improved maternal health practices.

- **Collective Bargaining for Equal Wages and Work Rights**
  - Women’s networks empower members to demand parity in pay, working conditions, and job security in informal and formal sectors.
  - Example: **SEWA (Gujarat)** led wage negotiations for women bidi workers and street vendors, achieving equal pay for equal work.

- **Access to Legal Rights and Gender Justice**
  - Networks provide legal awareness and aid, enabling women to claim rights in marriage, inheritance, and workplace equality.
  - Example: **Mission Shakti (Odisha)** SHGs supported women in filing for property rights and domestic violence complaints, upholding gender-just outcomes.

Women’s **social capital** is a powerful, often underrecognized force that complements formal efforts toward **empowerment and gender equity**. By strengthening community networks, trust, and collective agency, it transforms women from passive beneficiaries to **active changemakers**, contributing to a **more inclusive and just society**."
27,e-governance projects have a built-in bias towards technology and back-end integration than user-centric designs. Examine.,10,GS 2,Governance,2025,"E-governance aims to make government services **efficient, transparent, and accessible** using digital technologies. However, in India, many e-governance projects have been designed with a **technology-first approach**, often emphasizing **IT infrastructure and data integration** over the needs and ease-of-use for end users, especially citizens from marginalized sections.

## Built-in Technology Bias in e-Governance Projects

- **Backend Integration Priority**: Projects like **Income Tax e-filing portal** focus heavily on database synchronization and server architecture, often neglecting intuitive user interfaces and navigation simplicity.

- **Technical Specifications Over User Research**: **GSTN portal** initially prioritized complex tax calculations and compliance features without adequate user testing, leading to widespread complaints from businesses.

- **Infrastructure-Heavy Investments**: Majority of budgets allocated to **data centers**, cloud storage, and network connectivity rather than user experience design and accessibility features.

- **System-Centric Metrics**: Success measured through technical parameters like **uptime**, transaction volumes, and data processing speed rather than user satisfaction scores.

- **One-Size-Fits-All Design**: Platforms often lack local language support, accessibility features, or mobile optimization. Ignores diverse user contexts, especially for rural, elderly, or disabled citizens. Example: The **Bhoomi project (Karnataka)** initially failed to account for illiterate users, leading to dependence on middlemen.

## Evidence of User-Centric Design Neglect

- **Digital Divide Ignorance**: **CoWIN portal** initially lacked provisions for low-bandwidth areas and basic smartphones, excluding rural populations from vaccination registration.

- **Language Accessibility Issues**: **Ayushman Bharat portal** supports limited regional languages despite serving diverse linguistic populations across states.

- **Limited Citizen Feedback Loops**: Few systems include mechanisms for user testing, grievance feedback, or iterative design based on user experience. Tech vendors often drive design, not public needs. Example: Initial versions of **DigiLocker** had limited onboarding help, leading to underuse despite high potential.

- **Mobile Responsiveness**: Many government websites like **EPFO portal** remain poorly optimized for mobile devices despite 70% users accessing via smartphones.

- **Inadequate Support Systems**: Limited help desk functionality and user guidance features in platforms like **RTI online portal**.

Successful e-governance requires balancing technological robustness with user-centered design principles. The **Estonia model** demonstrates how citizen feedback integration can enhance digital service delivery effectiveness."
28,Civil Society Organizations are often perceived as being anti-State actors than non-State actors. Do you agree? Justify.,10,GS 2,Governance,2025,"Civil Society Organizations (CSOs) are non-State, voluntary groups that operate independently to promote social, economic, environmental, or political causes. Ideally, they function as non-State actors working with or alongside the government to ensure democratic accountability. However, recent **FCRA cancellations affecting over 6,000 NGOs in 2023** highlight the complex state-CSO relationship dynamics in India.

## **CSOs as Non-State Actors**

### **Complementary Governance Role:**
- **Service delivery partners**: Akshaya Patra Foundation serves 1.8 million children daily under Mid-Day Meal Scheme.
- **Policy implementation**: Self-Employed Women's Association (SEWA) facilitates financial inclusion through Jan Dhan Yojana.
- **Community mobilization**: Arya Samaj's role in Swachh Bharat Mission across rural Haryana.
- **Capacity building**: Pratham's collaboration with state governments for foundational literacy.
- **Social audit mechanisms**: Mazdoor Kisan Shakti Sangathan's transparency initiatives in MGNREGA.

### **Democratic Participation:**
- **Voter awareness**: Association for Democratic Reforms' election transparency efforts.
- **Grievance redressal**: Citizen forums supporting PM GrievCell portal.
- **Rights advocacy**: Legal aid societies working with National Legal Services Authority.
- **Research partnerships**: Centre for Policy Research's inputs to NITI Aayog policies.
- **Disaster response**: Goonj's coordination with NDMA during COVID-19 pandemic.

## **Perception as Anti-State Actors**

### **Regulatory Tensions:**
- **FCRA restrictions**: Oxfam India, Greenpeace losing licenses for environmental advocacy.
- **Sedition allegations**: Activists like Aruna Roy facing legal challenges for RTI campaigns.
- **Foreign funding scrutiny**: Christian missionaries' educational institutions under investigation.
- **Resource competition**: Conflicts over government contracts between CSOs and private agencies.
- **Ideological differences**: Environmental groups opposing mining projects in tribal areas.

### **Institutional Friction:**
- **Accountability demands**: CSOs questioning government expenditure through RTI applications.
- **Policy criticism**: Human rights organizations highlighting governance gaps in Kashmir.
- **International reporting**: Amnesty International's documentation affecting India's global image.
- **Court interventions**: PIL activism challenging government policies on pollution, displacement.
- **Media partnerships**: Investigative journalism collaborations exposing corruption scandals.

The perception of CSOs as anti-State emerges when criticism is mistaken for opposition. In truth, a **vibrant civil society** is essential for a robust democracy. Rather than viewing them as adversaries, the State should engage CSOs as **partners in development**, ensuring **transparency without hostility** and **accountability without suspicion**."
29,"India-Africa digital partnership is achieving mutual respect, co-development and long-term institutional partnerships. Elaborate.",10,GS 2,International Relations,2025,"India-Africa digital partnership gained momentum with the **2024 India-Africa ICT Expo**, demonstrating technological cooperation that prioritizes African sovereignty while fostering shared digital growth.

## Achieving Mutual Respect through Digital Cooperation

- **Demand-driven approach**: India avoids imposing solutions, instead responding to specific African needs like **Morocco's request for MOSIP digital identity system**.
- **Sovereignty preservation**: African nations retain control over their digital infrastructure while benefiting from Indian expertise.
- **Cultural sensitivity**: Projects like **Ghana's e-governance platform** incorporate local languages and administrative practices.
- **Equal partnership**: Both regions contribute expertise - Africa provides market insights while India shares technological solutions.
- **Capacity building focus**: Training programs ensure Africans lead their own digital transformation initiatives.

## Co-Development Models in Action

- **Joint innovation**: **Pan-African e-Network Project** connects 53 African countries through shared tele-medicine and tele-education platforms.
- **Technology adaptation**: **UPI model** customized for **Namibian payment systems** considering local banking infrastructure.
- **Collaborative funding**: India's **$12 billion concessional credit** combined with African government investments for sustainable project financing.
- **Knowledge exchange**: **IIT Madras Zanzibar campus** facilitates two-way learning between Indian and African students.
- **Research partnerships**: Joint R&D initiatives in **AI and blockchain** through institutions like **Indian Statistical Institute**.

## Long-term Institutional Partnerships

| Initiative | Countries Involved | Timeline | Impact |
|------------|-------------------|----------|---------|
| IT Centers | 6 African nations | 2019-ongoing | 15,000+ trained professionals |
| MOSIP Implementation | Morocco, Togo, Guinea | 2021-2025 | 50 million+ digital identities |
| Smart City Projects | Nigeria, Kenya, Rwanda | 2020-2030 | Urban digitization |

- **Sustained engagement**: **Smart Zambia Initiative (2023)** extends beyond technology transfer to governance transformation
- **Educational foundations**: 3,000+ annual scholarships for African students in Indian technical institutions
- **Institutional frameworks**: Regular **India-Africa Summit** mechanisms ensure continuous partnership evolution

This partnership exemplifies **""Atmanirbhar Bharat""** principles globally, with initiatives like **MOSIP in West Africa** and **digital agriculture platforms in East Africa** creating sustainable technological ecosystems."
